Vendor,Product,Product Number,MAC,Software,Release Year?,Exclude
Crouzet,em4 B26-2GS,,84:AC:FB:00:05:E0,,,X
Crouzet,em4 B26-2GS,,84:AC:FB:00:05:E6,,,X
Crouzet,em4 B26-2GS,,84:AC:FB:00:01:5F,,,
