Vendor,Product,Product Number,Serial Number,MAC,Software,Exclude
Allied Telesis Holdings K.K.,iMG646BD,iMG600E,,00:0d:da:03:c0:a7,2+AC0-5 release 55,
Allied Telesis K.K.,iMG613RF,,,00:0d:da:03:c7:fa,2+AC0-3 release 59+AF8-02+AF8-01,
Allied Telesis K.K.,iMG613RF,,,00:0d:da:03:da:54,2+AC0-3 release 59+AF8-02+AF8-01,
Allied Telesis Holdings K.K.,iMG613RF,iMG600E,,00:0d:da:03:e4:90,2+AC0-5 release 55,
Allied Telesis Holdings K.K.,iMG613RF,iMG600E,,00:0d:da:03:e4:95,2+AC0-5 release 55,
Allied Telesis Holdings K.K.,iMG613RF,iMG600E,,00:0d:da:03:e5:05,2+AC0-5 release 55,
Allied Telesis Holdings K.K.,iMG613RF,iMG600E,,00:0d:da:03:e5:20,2+AC0-5 release 55,
Allied Telesis Holdings K.K.,iMG613RF,iMG600E,,00:0d:da:03:e5:37,2+AC0-5 release 55,
Allied Telesis Holdings K.K.,iMG613RF,iMG600E,,00:0d:da:03:e5:45,2+AC0-5 release 55,
Allied Telesis Holdings K.K.,iMG613RF,iMG600E,,00:0d:da:03:e5:60,2+AC0-5 release 55,
Allied Telesis Holdings K.K.,iMG613RF,iMG600E,,00:0d:da:03:e5:77,2+AC0-5 release 55,
Allied Telesis Holdings K.K.,iMG613RF,iMG600E,,00:0d:da:03:e5:7a,2+AC0-5 release 55,
Allied Telesis Holdings K.K.,iMG613RF,iMG600E,,00:0d:da:03:e5:7d,2+AC0-5 release 55,
Allied Telesis Holdings K.K.,iMG613RF,iMG600E,,00:0d:da:03:e5:89,2+AC0-5 release 55,
Allied Telesis Holdings K.K.,iMG613RF,iMG600E,,00:0d:da:03:e5:90,2+AC0-5 release 55,
Allied Telesis Holdings K.K.,iMG613RF,iMG600E,,00:0d:da:03:e6:35,2+AC0-5 release 55,
Allied Telesis Holdings K.K.,iMG613RF,iMG600E,,00:0d:da:03:e6:58,2+AC0-5 release 55,
Allied Telesis Holdings K.K.,iMG613RF,iMG600E,,00:0d:da:03:e6:f2,2+AC0-5 release 55,
Allied Telesis Holdings K.K.,iMG613RF,iMG600E,,00:0d:da:03:e6:fa,2+AC0-5 release 55,
Allied Telesis Holdings K.K.,iMG613RF,iMG600E,,00:0d:da:03:e7:00,2+AC0-5 release 55,
Allied Telesis Holdings K.K.,iMG613RF,iMG600E,,00:0d:da:03:e7:01,2+AC0-5 release 55,
Allied Telesis Holdings K.K.,iMG613RF,iMG600E,,00:0d:da:03:e7:85,2+AC0-5 release 55,
Allied Telesis Holdings K.K.,iMG613RF,iMG600E,,00:0d:da:03:e7:a1,2+AC0-5 release 55,
Allied Telesis Holdings K.K.,iMG613RF,iMG600E,,00:0d:da:03:e7:ac,2+AC0-5 release 55,
Allied Telesis Holdings K.K.,iMG613RF,iMG600E,,00:0d:da:03:e7:ae,2+AC0-5 release 55,
Allied Telesis Holdings K.K.,iMG613RF,iMG600E,,00:0d:da:03:e7:b1,2+AC0-5 release 55,
Allied Telesis Holdings K.K.,iMG613RF,iMG600E,,00:0d:da:03:e7:b5,2+AC0-5 release 55,
Allied Telesis Holdings K.K.,iMG613RF,iMG600E,,00:0d:da:03:e7:b6,2+AC0-5 release 55,
Allied Telesis Holdings K.K.,iMG613RF,iMG600E,,00:0d:da:03:e8:17,2+AC0-5 release 55,
Allied Telesis Holdings K.K.,iMG613RF,iMG600E,,00:0d:da:03:e8:45,2+AC0-5 release 55,
Allied Telesis Holdings K.K.,iMG613RF,iMG600E,,00:0d:da:03:e8:75,2+AC0-5 release 55,
Allied Telesis Holdings K.K.,iMG613RF,iMG600E,,00:0d:da:03:e8:7a,2+AC0-5 release 55,
Allied Telesis K.K.,iMG613RF,,,00:0d:da:03:e8:c7,2+AC0-3 release 59+AF8-02+AF8-01,
Allied Telesis K.K.,iMG606BD,,,00:0d:da:04:09:a2,2+AC0-3 release 59+AF8-01+AF8-08,
Allied Telesis Holdings K.K.,iMG606BD,iMG600E,,00:0d:da:04:10:88,2+AC0-5 release 55,
Allied Telesis Holdings K.K.,RG624A,RG600A,,00:0d:da:04:16:b8,3+AC0-5 release 83+AF8-03+AF8-51,
Allied Telesis Holdings K.K.,RG624A,RG600A,,00:0d:da:04:1f:08,3+AC0-5 release 83+AF8-03+AF8-113,
Allied Telesis Holdings K.K.,RG624A,RG600A,,00:0d:da:04:1f:42,3+AC0-5 release 83+AF8-03+AF8-51,
Allied Telesis Holdings K.K.,RG624A,RG600A,,00:0d:da:04:20:49,3+AC0-5 release 83+AF8-03+AF8-113,
Allied Telesis Holdings K.K.,RG624A,RG600A,,00:0d:da:04:20:c7,3+AC0-5 release 83+AF8-03+AF8-113,
Allied Telesis Holdings K.K.,RG613LH,RG600E,,00:0d:da:04:8a:ca,2+AC0-5 release 48+AF8-01+AF8-01,
Allied Telesis Holdings K.K.,iMG606BD,iMG600E,,00:0d:da:04:b2:fe,2+AC0-5 release 55+AF8-10+AF8-29,
Allied Telesis Holdings K.K.,iMG606BD,iMG600E,,00:0d:da:04:b3:49,2+AC0-5 release 55,
Allied Telesis Holdings K.K.,iMG606BD,iMG600E,,00:0d:da:04:b3:58,2+AC0-5 release 55,
Allied Telesis K.K.,iMG606BD,iMG600E,,00:0d:da:04:b4:0f,2+AC0-4 release 58+AF8-02+AF8-03,
Allied Telesis K.K.,iMG606BD,iMG600E,,00:0d:da:04:b4:2e,2+AC0-4 release 58+AF8-02+AF8-03,
Allied Telesis Holdings K.K.,iMG606BD,iMG600E,,00:0d:da:04:b4:8b,2+AC0-5 release 55+AF8-10+AF8-12+AF8-05,
Allied Telesis K.K.,iMG606BD,iMG600E,,00:0d:da:04:b5:08,2+AC0-4 release 58+AF8-02+AF8-03,
Allied Telesis K.K.,iMG606BD,iMG600E,,00:0d:da:04:b6:f8,2+AC0-4 release 58+AF8-02+AF8-03,
Allied Telesis K.K.,iMG606BD,iMG600E,,00:0d:da:04:b6:f8,2+AC0-4 release 58+AF8-02+AF8-03,
Allied Telesis Holdings K.K.,iMG606BD,iMG600E,,00:0d:da:04:b7:3a,2+AC0-5 release 55+AF8-10+AF8-12+AF8-05,
Allied Telesis Holdings K.K.,iMG634WA,iMG634A+AC0-MAIN,,00:0d:da:05:2f:d3,3+AC0-5 release 83+AF8-03+AF8-51,
Allied Telesis Holdings K.K.,iMG634WA,iMG634A+AC0-MAIN,,00:0d:da:05:31:74,3+AC0-5 release 83+AF8-03+AF8-51,
Allied Telesis Holdings K.K.,iMG634WA,iMG634A+AC0-MAIN,,00:0d:da:05:31:78,3+AC0-5 release 83+AF8-03+AF8-51,
Allied Telesis Holdings K.K.,iMG634WA,iMG634A+AC0-MAIN,,00:0d:da:05:32:fb,3+AC0-5 release 83+AF8-03+AF8-51,
Allied Telesis Holdings K.K.,iMG634WA,iMG634A+AC0-MAIN,,00:0d:da:05:34:64,3+AC0-5 release 83+AF8-03+AF8-51,
Allied Telesis Holdings K.K.,iMG634WA,iMG634A+AC0-MAIN,,00:0d:da:05:34:83,3+AC0-5 release 83+AF8-03+AF8-51,
Allied Telesis Holdings K.K.,iMG634WA,iMG634A+AC0-MAIN,,00:0d:da:05:34:f0,3+AC0-5 release 83+AF8-03+AF8-51,
Allied Telesis Holdings K.K.,iMG634WA,iMG634A+AC0-MAIN,,00:0d:da:05:35:2c,3+AC0-5 release 83+AF8-03+AF8-51,
Allied Telesis Holdings K.K.,iMG634WA,iMG634A+AC0-MAIN,,00:0d:da:05:35:86,3+AC0-5 release 83+AF8-03+AF8-51,
Allied Telesis Holdings K.K.,iMG634WA,iMG634A+AC0-MAIN,,00:0d:da:05:35:f4,3+AC0-5 release 83+AF8-03+AF8-51,
Allied Telesis Holdings K.K.,iMG634WA,iMG634A+AC0-MAIN,,00:0d:da:05:36:cb,3+AC0-5 release 83+AF8-03+AF8-51,
Allied Telesis Holdings K.K.,iMG634WA,iMG634A+AC0-MAIN,,00:0d:da:05:37:ca,3+AC0-5 release 83+AF8-03+AF8-51,
Allied Telesis Holdings K.K.,iMG634WA,iMG634A+AC0-MAIN,,00:0d:da:05:38:1b,3+AC0-5 release 83+AF8-03+AF8-51,
Allied Telesis Holdings K.K.,iMG634WA,iMG634A+AC0-MAIN,,00:0d:da:05:38:c9,3+AC0-5 release 83+AF8-03+AF8-51,
Allied Telesis Holdings K.K.,iMG634WA,iMG634A+AC0-MAIN,,00:0d:da:05:3a:79,3+AC0-5 release 83+AF8-03+AF8-51,
Allied Telesis Holdings K.K.,iMG634WA,iMG634A+AC0-MAIN,,00:0d:da:05:3a:ad,3+AC0-5 release 83+AF8-03+AF8-51,
Allied Telesis Holdings K.K.,iMG634WA,iMG634A+AC0-MAIN,,00:0d:da:05:3b:63,3+AC0-5 release 83+AF8-03+AF8-51,
Allied Telesis Holdings K.K.,iMG634WA,iMG634A+AC0-MAIN,,00:0d:da:05:3c:98,3+AC0-5 release 83+AF8-03+AF8-51,
Allied Telesis Holdings K.K.,iMG634WA,iMG634A+AC0-MAIN,,00:0d:da:05:3c:da,3+AC0-5 release 83+AF8-03+AF8-51,
Allied Telesis Holdings K.K.,iMG634WA,iMG634A+AC0-MAIN,,00:0d:da:05:3c:ea,3+AC0-5 release 83+AF8-03+AF8-51,
Allied Telesis Holdings K.K.,iMG634WA,iMG634A+AC0-MAIN,,00:0d:da:05:41:78,3+AC0-5 release 83+AF8-03+AF8-51,
