Vendor,Product,Product Number,Serial Number,MAC,Software,Release Year?,Exclude
Lantronix,WiBox Device Server,,,00:20:4A:CE:0F:F6,Software version V6.7.0.0 (100118),,
Lantronix,Lantronix Inc. +AC0- Modbus Bridge,,,00:20:4A:CE:33:4F,Software version V3.2.25.0 (070615),,
Lantronix,WiBox Device Server,,,00:20:4A:CE:68:46,Software version V6.7.0.0 (100118),,
Lantronix,WiBox Device Server,,,00:20:4A:CE:6B:8F,Software version V6.7.0.0 (100118),,
Lantronix,Demo Server,,,00:20:4A:D1:81:04,Software version VTSX+AF8-1.11 (120207) CPK6500+AF8-XPTEX,,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:01:0F,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:02:FF,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:03:49,Software version V6.1.0.1 (060120) UDS1100,,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:04:97,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:08:E1,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:0D:21,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:11:81,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:12:51,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:14:17,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:14:75,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:17:23,Software version V6.8.0.2 (120710),,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:17:26,Software version V6.8.0.2 (120710),,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:17:7D,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:1A:DB,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:1C:24,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:1E:BD,Software version V6.6.0.1 (080808),,
Lantronix,Universal Device Server,,,00:20:4A:D2:20:24,Software version V5.9.0.0 (091013) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:D2:20:8B,Software version V5.9.0.0 (091013) LTX,,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:21:2F,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:21:3E,Software version V6.6.0.1 (080808),,
Lantronix,Universal Device Server,,,00:20:4A:D2:21:5B,Software version V5.9.0.0 (091013) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:D2:21:A0,Software version V5.9.0.0 (091013) LTX,,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:22:1D,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:23:30,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:23:3A,Software version V6.6.0.1 (080808),,
Lantronix,Demo Server,,,00:20:4A:D2:23:3C,Software version V0.0.0.0 (091021) CPK6101+AF8-UDS1100,,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:23:FB,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:24:FB,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:25:7B,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:29:D4,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:2A:58,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:2A:6B,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:2A:7A,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:2C:A0,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:2C:AB,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:2D:1B,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:31:99,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:32:09,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:39:13,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:3F:D8,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:41:E5,Software version V6.6.0.1 (080808),,
Lantronix,Universal Device Server,,,00:20:4A:D2:43:27,Software version V5.9.0.0 (091013) LTX,,
Lantronix,Demo Server,,,00:20:4A:D2:44:51,Software version V0.0.0.0 (091021) CPK6101+AF8-UDS1100,,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:4A:09,Software version V6.6.0.1 (080808),,
Lantronix,Universal Device Server,,,00:20:4A:D2:4A:39,Software version V5.9.0.0 (091013) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:D2:4A:92,Software version V5.9.0.0 (091013) LTX,,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:4B:ED,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:4B:EF,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:D2:4C:24,Software version V6.6.0.1 (080808),,
