Vendor,Product,Product Number,MAC,Software,Release Year?,Exclude
Moxa,NE4110S,,00:90:e8:0f:32:cb,,,
Moxa,NE4110S,,00:90:e8:0f:32:d6,,,
Moxa,NE4110S,,00:90:e8:0f:35:08,,,
Moxa,NE4110S,,00:90:e8:0f:35:11,,,
Moxa,NP5110,,00:90:e8:0f:3c:3c,,,
Moxa,NP5110,,00:90:e8:0f:3e:ed,,,
Moxa,NP5110,,00:90:e8:0f:60:3f,,,
Moxa,NP5110,,00:90:e8:0f:63:90,,,
Moxa,NP5110,,00:90:e8:0f:65:12,,,
Moxa,NP5110,,00:90:e8:0f:66:a3,,,
Moxa,NP5110,,00:90:e8:0f:66:a7,,,
Moxa,NP5110,,00:90:e8:0f:66:a9,,,
Moxa,NP5610,,00:90:e8:0f:68:95,,,
Moxa,NP5232,,00:90:e8:0f:88:32,,,
Moxa,NP5232,,00:90:e8:0f:88:58,,,
Moxa,NP5230,,00:90:e8:0f:b0:8c,,,
Moxa,NP5110,,00:90:e8:0f:ec:e0,,,
Moxa,NP5610,,00:90:e8:10:05:aa,,,
Moxa,NP5230,,00:90:e8:10:17:5f,,,
Moxa,NE4100T,,00:90:e8:10:1c:3d,,,
Moxa,NP5110,,00:90:e8:10:26:a3,,,
Moxa,NP5110,,00:90:e8:10:26:dd,,,
Moxa,NP5110,,00:90:e8:10:3a:ee,,,
Moxa,NP5110,,00:90:e8:10:3b:0d,,,
Moxa,NP5110,,00:90:e8:10:3b:e9,,,
Moxa,NP5110,,00:90:e8:10:42:ce,,,
Moxa,NE4110,,00:90:e8:10:5a:ad,,,
Moxa,NE4100T,,00:90:e8:10:69:05,,,
Moxa,NP5110,,00:90:e8:10:a3:0d,,,
Moxa,NP5110,,00:90:e8:10:a4:ad,,,
Moxa,NP5210,,00:90:e8:10:a9:68,,,
Moxa,NP5410,,00:90:e8:10:b5:41,,,
Moxa,NE4100T,,00:90:e8:10:d3:2d,,,
Moxa,NE4110S,,00:90:e8:10:df:29,,,
Moxa,NE4110S,,00:90:e8:10:df:4d,,,
Moxa,NP5210,,00:90:e8:10:f6:69,,,
Moxa,NP5110,,00:90:e8:10:fd:53,,,
Moxa,NP5110,,00:90:e8:10:fd:cc,,,
Moxa,NP5110,,00:90:e8:10:ff:5d,,,
