Vendor,Product,Product Number,MAC,Software,Release Year?,Exclude
Hirschmann Industries,MACH Release L2P+AC0-09.0.04,+AC0-,94:AE:E3:03:A6:7C,,,
Hirschmann Industries,RSP25,+AC0-,EC:E5:55:42:8F:52,,,
Hirschmann Industries,Railswitch Rugged Release L2P+AC0-07.1.05,+AC0-,EC:E5:55:65:AB:D2,,,
